#* 24/03/2020 15:52:29	Starting 123Solar (32437)

#* 24/03/2020 15:52:26	Stopping 123Solar (16659)

#3 24/03/2020 08:37:31	Connection lost

#3 24/03/2020 08:34:25	Missing 5' sample

#3 24/03/2020 08:32:47	Connection lost

#3 24/03/2020 08:30:08	Missing 5' sample

#3 24/03/2020 08:27:51	Connection lost

#3 24/03/2020 08:25:07	Missing 5' sample

#3 24/03/2020 08:22:39	Connection lost

#3 24/03/2020 08:19:57	Missing 5' sample

#3 24/03/2020 08:17:13	Connection lost

#3 24/03/2020 08:14:36	Missing 5' sample

#3 24/03/2020 08:12:34	Connection lost

#3 24/03/2020 08:10:12	Missing 5' sample

#3 24/03/2020 08:07:26	Connection lost

#3 24/03/2020 08:05:01	Missing 5' sample

#3 24/03/2020 08:02:34	Connection lost

#3 24/03/2020 07:59:29	Missing 5' sample

#3 24/03/2020 07:57:30	Connection lost

#3 24/03/2020 07:54:59	Missing 5' sample

#3 24/03/2020 07:52:30	Connection lost

#3 24/03/2020 07:49:58	Missing 5' sample

#3 24/03/2020 07:47:13	Connection lost

#3 24/03/2020 07:44:34	Missing 5' sample

#3 24/03/2020 07:42:49	Connection lost

#3 24/03/2020 07:40:12	Missing 5' sample

#3 24/03/2020 07:37:25	Connection lost

#3 24/03/2020 07:34:50	Missing 5' sample

#3 24/03/2020 07:32:14	Connection lost

#3 24/03/2020 07:29:27	Missing 5' sample

#3 24/03/2020 07:27:43	Connection lost

#3 24/03/2020 07:24:45	Missing 5' sample

#3 24/03/2020 07:22:22	Connection lost

#3 24/03/2020 07:19:41	Missing 5' sample

#3 24/03/2020 07:17:37	Connection lost

#3 24/03/2020 07:14:59	Missing 5' sample

#3 24/03/2020 07:12:35	Connection lost

#3 24/03/2020 07:09:57	Missing 5' sample

#3 24/03/2020 07:07:19	Connection lost

#3 24/03/2020 07:04:41	Missing 5' sample

#3 24/03/2020 07:02:46	Connection lost

#3 24/03/2020 06:59:55	Missing 5' sample

#3 24/03/2020 06:57:40	Connection lost

#3 24/03/2020 06:54:57	Missing 5' sample

#3 24/03/2020 06:52:40	Connection lost

#3 24/03/2020 06:49:54	Missing 5' sample

#3 24/03/2020 06:47:00	Connection lost

#3 24/03/2020 06:45:07	Missing 5' sample

#3 24/03/2020 06:41:47	Connection lost

#3 24/03/2020 06:39:33	Missing 5' sample

#3 24/03/2020 06:36:48	Connection lost

#3 24/03/2020 06:34:33	Missing 5' sample

#3 24/03/2020 05:45:01	Clean up

#3 24/03/2020 05:43:05 
Alarm 1:               Bulk UV W011
Alarm 2:               Bulk UV W011
Alarm 3:               Bulk UV W011
Alarm 4:               Bulk UV W011

#3 24/03/2020 05:39:54	Missing 5' sample

#* 24/03/2020 05:31:16	123Solar awake

#* 23/03/2020 18:07:15	123Solar asleep

#3 23/03/2020 18:05:16	Sync. inverter time

#3 23/03/2020 17:05:01	Clean up

#* 23/03/2020 17:02:56	Starting 123Solar (15308)

#* 23/03/2020 17:02:54	Stopping 123Solar (6477)

#3 22/03/2020 17:45:07	Missing 5' sample

#3 22/03/2020 17:40:16	Missing 5' sample

#3 22/03/2020 17:35:00	Missing 5' sample

#3 22/03/2020 17:30:10	Missing 5' sample

#3 22/03/2020 17:25:45	Connection lost

#3 22/03/2020 17:24:52	Missing 5' sample

#3 22/03/2020 17:20:49	Connection lost

#3 22/03/2020 17:19:57	Missing 5' sample

#3 22/03/2020 17:15:42	Connection lost

#3 22/03/2020 17:14:52	Missing 5' sample

#3 22/03/2020 17:10:08	Connection lost

#3 22/03/2020 17:10:08	Missing 5' sample

#3 22/03/2020 16:20:24	VGrid high warning 250.37 V on phase 1

#3 22/03/2020 16:15:06	VGrid high warning 250.3 V on phase 1

#3 22/03/2020 16:10:20	Clean up

#* 22/03/2020 16:10:07	Starting 123Solar (4107)

#* 22/03/2020 16:10:05	Stopping 123Solar (6897)

#3 21/03/2020 12:44:56	Missing 5' sample

#3 21/03/2020 12:44:21	VGrid high warning 250.77 V on phase 1

#3 21/03/2020 07:34:58	Sync. inverter time

#3 21/03/2020 06:29:59	Clean up

#* 21/03/2020 06:29:30	Starting 123Solar (7378)

#* 21/03/2020 06:29:28	Stopping 123Solar (5939)

#3 18/03/2020 06:00:21	Missing 5' sample

#3 18/03/2020 05:44:59	Missing 5' sample

#* 18/03/2020 05:44:03	123Solar awake

#* 17/03/2020 17:57:02	123Solar asleep

#3 17/03/2020 17:40:37	Missing 5' sample

#3 17/03/2020 17:35:22	Missing 5' sample

#3 17/03/2020 17:30:28	Missing 5' sample

#3 17/03/2020 17:25:28	Missing 5' sample

#3 17/03/2020 17:20:42	Missing 5' sample

#3 17/03/2020 17:19:32	Connection lost

#3 17/03/2020 17:14:59	Missing 5' sample

#3 17/03/2020 17:14:00	Connection lost

#3 17/03/2020 17:10:06	Missing 5' sample

#3 17/03/2020 17:09:00	Connection lost

#3 17/03/2020 17:04:59	Missing 5' sample

#3 17/03/2020 17:04:00	Connection lost

#3 17/03/2020 17:00:06	Missing 5' sample

#3 17/03/2020 16:59:00	Connection lost

#3 17/03/2020 16:54:59	Missing 5' sample

#3 17/03/2020 16:54:00	Connection lost

#3 17/03/2020 16:49:59	Missing 5' sample

#3 17/03/2020 16:49:00	Connection lost

#3 17/03/2020 16:45:06	Missing 5' sample

#3 17/03/2020 16:44:00	Connection lost

#3 17/03/2020 16:40:03	Missing 5' sample

#3 17/03/2020 16:39:00	Connection lost

#3 17/03/2020 16:35:06	Missing 5' sample

#3 17/03/2020 16:34:00	Connection lost

#3 17/03/2020 16:29:59	Missing 5' sample

#3 17/03/2020 16:29:00	Connection lost

#3 17/03/2020 16:25:03	Missing 5' sample

#3 17/03/2020 16:24:00	Connection lost

#3 17/03/2020 16:20:06	Missing 5' sample

#3 17/03/2020 16:19:00	Connection lost

#3 17/03/2020 16:15:03	Missing 5' sample

#3 17/03/2020 16:14:00	Connection lost

#3 17/03/2020 16:10:06	Missing 5' sample

#3 17/03/2020 16:09:00	Connection lost

#* 17/03/2020 16:03:09	123Solar awake

#* 17/03/2020 16:03:08	Starting 123Solar (1606)

#3 17/03/2020 16:00:05	VGrid high warning 251.29 V on phase 1

#3 17/03/2020 15:41:30	Connection restored

#3 17/03/2020 15:40:08	Connection lost

#3 17/03/2020 15:40:08	Missing 5' sample

#* 17/03/2020 15:39:07	Starting 123Solar (29160)

