#1 20/03/2020 10:35:06	Riso warning 4.3 Mohm

#1 20/03/2020 10:30:07	Riso warning 4.3 Mohm

#1 20/03/2020 10:25:06	Riso warning 4.3 Mohm

#1 20/03/2020 10:20:05	Riso warning 4.3 Mohm

#1 20/03/2020 10:20:05	VGrid high warning 250.05 V on phase 1

#1 20/03/2020 10:15:06	Riso warning 4.3 Mohm

#1 20/03/2020 10:15:06	VGrid high warning 250.83 V on phase 1

#1 20/03/2020 10:10:03	Riso warning 4.3 Mohm

#1 20/03/2020 10:10:03	VGrid high warning 251.5 V on phase 1

#1 20/03/2020 10:05:00	Riso warning 4.3 Mohm

#1 20/03/2020 10:05:00	VGrid high warning 250.76 V on phase 1

#1 20/03/2020 10:00:00	Riso warning 4.3 Mohm

#1 20/03/2020 10:00:00	VGrid high warning 251.1 V on phase 1

#1 20/03/2020 09:55:07	Riso warning 4.3 Mohm

#1 20/03/2020 09:55:07	VGrid high warning 250.61 V on phase 1

#1 20/03/2020 09:50:00	Riso warning 4.3 Mohm

#1 20/03/2020 09:50:00	VGrid high warning 250.28 V on phase 1

#1 20/03/2020 09:45:11	Riso warning 4.3 Mohm

#1 20/03/2020 09:45:11	VGrid high warning 250.3 V on phase 1

#1 20/03/2020 09:40:08	Riso warning 4.3 Mohm

#1 20/03/2020 09:35:09	Riso warning 4.3 Mohm

#1 20/03/2020 09:35:09	VGrid high warning 251.28 V on phase 1

#1 20/03/2020 09:30:09	Riso warning 4.3 Mohm

#1 20/03/2020 09:25:06	Riso warning 4.3 Mohm

#1 20/03/2020 09:25:06	VGrid high warning 250.27 V on phase 1

#1 20/03/2020 09:20:08	Riso warning 4.3 Mohm

#1 20/03/2020 09:15:06	Riso warning 4.3 Mohm

#1 20/03/2020 09:10:04	Riso warning 4.3 Mohm

#1 20/03/2020 09:05:05	Riso warning 4.3 Mohm

#1 20/03/2020 09:00:05	Riso warning 4.3 Mohm

#1 20/03/2020 08:55:01	Riso warning 4.3 Mohm

#1 20/03/2020 08:50:05	Riso warning 4.3 Mohm

#1 20/03/2020 08:45:02	Riso warning 4.3 Mohm

#1 20/03/2020 08:40:08	Riso warning 4.3 Mohm

#1 20/03/2020 08:35:03	Riso warning 4.3 Mohm

#1 20/03/2020 08:30:08	Riso warning 4.3 Mohm

#1 20/03/2020 08:25:01	Riso warning 4.3 Mohm

#1 20/03/2020 08:20:05	Riso warning 4.3 Mohm

#1 20/03/2020 08:15:01	Riso warning 4.3 Mohm

#1 20/03/2020 08:10:01	Riso warning 4.3 Mohm

#1 20/03/2020 08:05:07	Riso warning 4.3 Mohm

#1 20/03/2020 08:00:03	Riso warning 4.3 Mohm

#1 20/03/2020 07:55:08	Riso warning 4.3 Mohm

#1 20/03/2020 07:50:02	Riso warning 4.3 Mohm

#1 20/03/2020 07:45:02	Riso warning 4.3 Mohm

#1 20/03/2020 07:40:08	Riso warning 4.3 Mohm

#1 20/03/2020 07:35:03	Riso warning 4.3 Mohm

