#* 04/04/2020 11:13:38	Stopping 123Solar (1775)

#* 04/04/2020 11:13:11	Starting 123Solar (1775)

#* 04/04/2020 11:10:22	Starting 123Solar (1686)

#* 04/04/2020 11:10:12	Stopping 123Solar (1215)

#* 04/04/2020 11:01:06	Starting 123Solar (1215)

#2 26/03/2020 14:04:27	VGrid high warning 252.14 V on phase 1

#2 26/03/2020 13:59:14	VGrid high warning 250.89 V on phase 1

#2 26/03/2020 13:54:03	VGrid high warning 251.94 V on phase 1

#2 26/03/2020 13:49:01	VGrid high warning 250.95 V on phase 1

#2 26/03/2020 13:44:20	VGrid high warning 251.51 V on phase 1

#2 26/03/2020 13:39:01	VGrid high warning 251.22 V on phase 1

#2 26/03/2020 13:34:20	VGrid high warning 250.16 V on phase 1

#2 26/03/2020 13:14:22	VGrid high warning 250.27 V on phase 1

#2 26/03/2020 13:04:17	VGrid high warning 250.25 V on phase 1

#2 26/03/2020 09:59:09	VGrid high warning 250.08 V on phase 1

#* 26/03/2020 09:36:57	Starting 123Solar (17167)

#* 26/03/2020 09:36:53	Stopping 123Solar (25503)

#2 26/03/2020 06:45:23	Sync. inverter time

#2 26/03/2020 05:50:34 
Alarm 1:               Bulk UV W011
Alarm 2:               Bulk UV W011
Alarm 3:               Bulk UV W011
Alarm 4:               Bulk UV W011

#2 26/03/2020 05:45:04	Clean up log

#2 26/03/2020 05:39:55	Missing 5' sample

#2 26/03/2020 05:34:59	Missing 5' sample

#2 26/03/2020 05:30:32	Missing 5' sample

#* 26/03/2020 05:26:06	123Solar awake

#* 25/03/2020 18:10:05	123Solar asleep

#2 25/03/2020 16:17:33	VGrid high warning 250.19 V on phase 1

#2 25/03/2020 16:07:21	VGrid high warning 250.91 V on phase 1

#2 25/03/2020 16:02:29	VGrid high warning 250.89 V on phase 1

#2 25/03/2020 15:57:01	VGrid high warning 251.17 V on phase 1

#2 25/03/2020 15:52:24	VGrid high warning 250.68 V on phase 1

#2 25/03/2020 15:47:26	VGrid high warning 250.65 V on phase 1

#2 25/03/2020 15:42:27	VGrid high warning 250.88 V on phase 1

#2 25/03/2020 15:37:34	VGrid high warning 250.81 V on phase 1

#* 25/03/2020 15:34:11	Starting 123Solar (25503)

#* 25/03/2020 15:34:10	Stopping 123Solar (18635)

#2 25/03/2020 15:22:01	VGrid high warning 250.62 V on phase 1

#2 25/03/2020 15:17:19	VGrid high warning 250.11 V on phase 1

#2 25/03/2020 15:12:22	VGrid high warning 250.27 V on phase 1

#2 25/03/2020 15:07:25	VGrid high warning 251.02 V on phase 1

#2 25/03/2020 14:32:06	VGrid high warning 250.14 V on phase 1

#2 25/03/2020 14:22:05	VGrid high warning 250.24 V on phase 1

#2 25/03/2020 14:17:02	VGrid high warning 250.22 V on phase 1

#2 25/03/2020 14:12:22	VGrid high warning 250.78 V on phase 1

#2 25/03/2020 14:07:04	VGrid high warning 250.98 V on phase 1

#2 25/03/2020 14:02:01	VGrid high warning 250.71 V on phase 1

#2 25/03/2020 13:57:20	VGrid high warning 250.5 V on phase 1

#2 25/03/2020 13:52:23	VGrid high warning 250.03 V on phase 1

#2 25/03/2020 13:47:06	VGrid high warning 250.55 V on phase 1

#2 25/03/2020 13:42:24	VGrid high warning 250.08 V on phase 1

#2 25/03/2020 13:37:06	VGrid high warning 251.26 V on phase 1

#2 25/03/2020 13:32:06	VGrid high warning 250.58 V on phase 1

#2 25/03/2020 13:27:04	VGrid high warning 250.47 V on phase 1

#2 25/03/2020 13:22:19	VGrid high warning 252.22 V on phase 1

#2 25/03/2020 13:17:21	VGrid high warning 251.76 V on phase 1

#2 25/03/2020 13:12:00	VGrid high warning 252.38 V on phase 1

#2 25/03/2020 13:07:19	VGrid high warning 251.68 V on phase 1

#2 25/03/2020 13:02:04	VGrid high warning 252.17 V on phase 1

#2 25/03/2020 12:57:09	VGrid high warning 251.53 V on phase 1

#2 25/03/2020 12:52:00	VGrid high warning 251.53 V on phase 1

#2 25/03/2020 12:47:23	VGrid high warning 250.51 V on phase 1

#2 25/03/2020 12:42:26	VGrid high warning 252.57 V on phase 1

#2 25/03/2020 12:37:20	VGrid high warning 252.93 V on phase 1

#2 25/03/2020 12:32:28	VGrid high warning 252.51 V on phase 1

#2 25/03/2020 12:27:05	VGrid high warning 252.94 V on phase 1

#2 25/03/2020 12:22:07	VGrid high warning 252.95 V on phase 1

#2 25/03/2020 12:17:03	VGrid high warning 251.74 V on phase 1

#2 25/03/2020 12:12:02	VGrid high warning 251.37 V on phase 1

#2 25/03/2020 12:07:20	VGrid high warning 252.65 V on phase 1

#2 25/03/2020 12:02:09	VGrid high warning 252.64 V on phase 1

#2 25/03/2020 11:57:00	VGrid high warning 251.57 V on phase 1

#2 25/03/2020 11:52:25	VGrid high warning 252.69 V on phase 1

#2 25/03/2020 11:47:19	VGrid high warning 250.65 V on phase 1

#2 25/03/2020 11:42:00	VGrid high warning 250.42 V on phase 1

#2 25/03/2020 11:27:05	VGrid high warning 250.08 V on phase 1

#2 25/03/2020 11:22:22	VGrid high warning 250.94 V on phase 1

#2 25/03/2020 11:17:04	VGrid high warning 250.58 V on phase 1

#2 25/03/2020 11:12:20	VGrid high warning 250.12 V on phase 1

#2 25/03/2020 10:27:26	VGrid high warning 250.35 V on phase 1

#2 25/03/2020 10:17:01	VGrid high warning 252.1 V on phase 1

#2 25/03/2020 10:12:00	VGrid high warning 252.23 V on phase 1

#2 25/03/2020 10:07:01	VGrid high warning 252.66 V on phase 1

#2 25/03/2020 10:02:17	VGrid high warning 251.74 V on phase 1

#2 25/03/2020 09:57:05	VGrid high warning 251.5 V on phase 1

#2 25/03/2020 09:52:21	VGrid high warning 251.27 V on phase 1

#2 25/03/2020 09:47:03	VGrid high warning 250.42 V on phase 1

#2 25/03/2020 09:32:11	VGrid high warning 250.18 V on phase 1

#2 25/03/2020 09:27:15	VGrid high warning 250.16 V on phase 1

#2 25/03/2020 09:22:13	VGrid high warning 250.27 V on phase 1

#2 25/03/2020 09:17:00	VGrid high warning 250.58 V on phase 1

#* 25/03/2020 08:48:49	Starting 123Solar (18635)

#* 25/03/2020 08:48:45	Stopping 123Solar (32437)

#2 25/03/2020 06:40:18	Sync. inverter time

#2 25/03/2020 05:45:13 
Alarm 1:               Bulk UV W011
Alarm 2:               Bulk UV W011
Alarm 3:               Bulk UV W011
Alarm 4:               Bulk UV W011

#2 25/03/2020 05:40:05	Clean up log

#2 25/03/2020 05:35:22	Missing 5' sample

#2 25/03/2020 05:30:10	Missing 5' sample

#* 25/03/2020 05:29:09	123Solar awake

#* 24/03/2020 18:08:08	123Solar asleep

#2 24/03/2020 16:32:22	VGrid high warning 250.32 V on phase 1

#2 24/03/2020 16:27:15	VGrid high warning 250.37 V on phase 1

#2 24/03/2020 16:17:15	VGrid high warning 250.18 V on phase 1

#2 24/03/2020 16:12:21	VGrid high warning 250.43 V on phase 1

#2 24/03/2020 16:07:14	VGrid high warning 251.42 V on phase 1

#2 24/03/2020 16:02:28	VGrid high warning 251.1 V on phase 1

#2 24/03/2020 15:57:23	VGrid high warning 250.8 V on phase 1

#* 24/03/2020 15:52:29	Starting 123Solar (32437)

#* 24/03/2020 15:52:26	Stopping 123Solar (16659)

#2 24/03/2020 15:27:10	VGrid high warning 250.06 V on phase 1

#2 24/03/2020 15:12:01	VGrid high warning 250.57 V on phase 1

#2 24/03/2020 15:07:05	VGrid high warning 250.09 V on phase 1

#2 24/03/2020 14:37:03	VGrid high warning 250.63 V on phase 1

#2 24/03/2020 14:32:16	VGrid high warning 250.35 V on phase 1

#2 24/03/2020 14:27:00	VGrid high warning 250.03 V on phase 1

#2 24/03/2020 13:57:01	VGrid high warning 252.87 V on phase 1

#2 24/03/2020 13:52:06	VGrid high warning 251.87 V on phase 1

#2 24/03/2020 13:47:17	VGrid high warning 251.27 V on phase 1

#2 24/03/2020 13:42:09	VGrid high warning 250.71 V on phase 1

#2 24/03/2020 13:37:13	VGrid high warning 251.84 V on phase 1

#2 24/03/2020 13:32:13	VGrid high warning 250.19 V on phase 1

